"","logFC","logCPM","F","PValue","FDR","gene_name","z","gene_id","ovl_with_cherryetal","gene_id_trimmed","Human_gene_id","HGNC.symbol"
"Jph2",1.0294100808776,3.35345002678945,24.2927740334469,0.000194100393503047,0.002734081982178,"Jph2",3.72657362413878,"ENSMUSG00000017817.11",TRUE,"ENSMUSG00000017817","ENSG00000149596","JPH2"
"Fnbp1",0.384342159456276,5.97376606477802,24.2257043901332,0.00019665361368706,0.00276273157479508,"Fnbp1",3.72327693133453,"ENSMUSG00000075415.13",TRUE,"ENSMUSG00000075415","ENSG00000187239","FNBP1"
"Snhg11",-1.50747405695094,2.45202642338378,24.2238831928042,0.000196723474703824,0.00276273157479508,"Snhg11",-3.72318729394335,"ENSMUSG00000044349.15",FALSE,"ENSMUSG00000044349",NA,NA
"Rpp25",1.62135092790961,1.87743231269962,24.2227496337379,0.000196766972226269,0.00276273157479508,"Rpp25",3.72313149817685,"ENSMUSG00000062309.8",FALSE,"ENSMUSG00000062309","ENSG00000178718","RPP25"
"Slc35f1",-2.34119663896307,1.65076483559481,24.22112827971,0.00019682920670583,0.00276273157479508,"Slc35f1",-3.72305168802157,"ENSMUSG00000038602.7",TRUE,"ENSMUSG00000038602","ENSG00000196376","SLC35F1"
"Atl2",-0.402544454253794,5.49736192792257,24.1577926554637,0.000199277925437597,0.00279463566863678,"Atl2",-3.71993009639605,"ENSMUSG00000059811.13",TRUE,"ENSMUSG00000059811","ENSG00000119787","ATL2"
"Sertad1",-0.50002566920817,7.14311075706852,24.1276021787856,0.00020045736151764,0.00280726796278514,"Sertad1",-3.71843940666513,"ENSMUSG00000008384.8",TRUE,"ENSMUSG00000008384","ENSG00000197019","SERTAD1"
"G0s2",-0.723182274021821,3.66619927466363,24.1257048356372,0.000200531749086583,0.00280726796278514,"G0s2",-3.71834566465487,"ENSMUSG00000009633.3",TRUE,"ENSMUSG00000009633","ENSG00000123689","G0S2"
"Cdh3",1.72664837820143,1.41430223061735,24.0606176572835,0.000203102701634976,0.00284075836772297,"Cdh3",3.7151257041837,"ENSMUSG00000061048.8",TRUE,"ENSMUSG00000061048","ENSG00000062038","CDH3"
"Maff",-0.609392867487385,6.76778859316061,24.0459755496011,0.000203686225082119,0.00284641655314669,"Maff",-3.71440021051741,"ENSMUSG00000042622.14",TRUE,"ENSMUSG00000042622","ENSG00000185022","MAFF"
"Smim14",-0.402700078250666,6.93268333647076,24.0087846250325,0.000205176974549824,0.00286473171752928,"Smim14",-3.71255559232464,"ENSMUSG00000037822.12",TRUE,"ENSMUSG00000037822","ENSG00000163683","SMIM14"
